0.000000e+000 0.000000e+000
3.306940e-001 3.246995e-001
6.613879e-001 6.142127e-001
9.920819e-001 8.371665e-001
1.322776e+000 9.694003e-001
1.653470e+000 9.965845e-001
1.984164e+000 9.157733e-001
2.314858e+000 7.357239e-001
2.645552e+000 4.759474e-001
2.976246e+000 1.645946e-001
3.306940e+000 -1.645946e-001
3.637634e+000 -4.759474e-001
3.968328e+000 -7.262239e-001
4.299022e+000 -9.157733e-001
4.629715e+000 -9.965845e-001
4.960409e+000 -9.694003e-001
5.291103e+000 -8.371665e-001
5.621797e+000 -6.142127e-001
5.952491e+000 -3.246995e-001
6.283185e+000 -2.449213e-016
